, <=50K, >50K
2.5845000000000002,0.0,0.0
5.9,13.343825322432545,0.0
9.166500000000001,0.0,3.9130174850909123
12.4335,29.8477390377804,25.132335119109584
15.7,32.20544099711581,8.62842140376173
18.9665,98.22109585850724,0.0
22.2335,0.0,0.0
25.5,27.490037078444992,10.986123363097137
28.7665,25.132335119109584,25.132335119109584
32.033500000000004,0.0,10.986123363097137
35.3,60.497864509140705,53.42475863113448
38.566500000000005,508.46123678286824,140.65973112654459
41.8335,13.343825322432545,20.416931200438768
45.099999999999994,0.0,13.343825322432545
48.3665,102.93649977717806,39.27854687512203
51.6335,0.0,0.0
54.900000000000006,18.05922924110336,0.0
58.1665,10.986123363097137,53.42475863113448
61.433499999999995,0.0,0.0
64.7,8.62842140376173,8.62842140376173
67.9665,10.986123363097137,84.07488410249479
71.23349999999999,0.0,0.0
74.5,114.72500957385509,60.497864509140705
77.76650000000001,0.0,0.0
81.0335,72.28637430581774,6.27071944442632
84.30000000000001,8.62842140376173,0.0
87.5665,15.701527281767953,0.0
90.8335,0.0,55.78246059046989
94.1,0.0,0.0
97.3665,41.63624883445744,0.0
